Year,Emissions,,,,,,,,,,,,,,,,,,,
1990,5716.36362,,,,,,,,,,,,,,,,,,,
1991,5614.2469,,,,,,,,,,,,,,,,,,,
1992,5442.68781,,,,,,,,,,,,,,,,,,,
1993,5346.86175,,,,,,,,,,,,,,,,,,,
1994,5327.97319,,,,,,,,,,,,,,,,,,,
1995,5381.35945,,,,,,,,,,,,,,,,,,,
1996,5494.5187,,,,,,,,,,,,,,,,,,,
1997,5398.60188,,,,,,,,,,,,,,,,,,,
1998,5360.34634,,,,,,,,,,,,,,,,,,,
1999,5255.72545,,,,,,,,,,,,,,,,,,,
2000,5270.84703,,,,,,,,,,,,,,,,,,,
2001,5324.65898,,,,,,,,,,,,,,,,,,,
2002,5278.88827,,,,,,,,,,,,,,,,,,,
2003,5366.91369,,,,,,,,,,,,,,,,,,,
2004,5375.39509,,,,,,,,,,,,,,,,,,,
2005,5345.21417,,,,,,,,,,,,,,,,,,,
2006,5338.3274,,,,,,,,,,,,,,,,,,,
2007,5293.76417,,,,,,,,,,,,,,,,,,,
2008,5179.48137,,,,,,,,,,,,,,,,,,,
2009,4803.5855,,,,,,,,,,,,,,,,,,,
2010,4909.51755,,,,,,,,,,,,,,,,,,,
2011,4758.6646,,,,,,,,,,,,,,,,,,,
2012,4693.23977,,,,,,,,,,,,,,,,,,,
2013,4598.84519,,,,,,,,,,,,,,,,,,,
2014,4423.73839,,,,,,,,,,,,,,,,,,,
2015,4451.81256,,,,,,,,,,,,,,,,,,,
